name,Category,Rating,Nº Reviews,Stars,User Comment,Hours,Plus Code,Address,City,Province,Url,Latitude,Longitude,Url in Maps,categoria_puntuacion
MAQUIA BURGUER,Restaurante de comida rápida,5.0,3.0,5.0,"Muy deliciosa la hamburguesa máquia, la carne jugosa, las salsas deliciosas, súper recomendados 👌","domingo, 5a11 PM; lunes, 5a11 PM; martes, Cerrado; miércoles, 5a11 PM; jueves, 5a11 PM; viernes, 5a11 PM; sábado, 5a11 PM","3VGX+FH Floridablanca, Santander","Cl. 19 #10a-27, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.076133,-73.1010755,https://maps.app.goo.gl/XuimXWNnB3pv22oF8,4.5-5.0
Rj burger,Restaurante de comida rápida,4.3,6.0,5.0,"Muy bien ambiente familiar, exelente comida muy rico todo.
Las hamburguesas ni se digan muy deliciosas","domingo, 4a11 PM; lunes, Cerrado; martes, 4a11 PM; miércoles, 4a11 PM; jueves, 4a11 PM; viernes, 4a11 PM; sábado, 4a11:30 PM","3WF6+WP Floridablanca, Santander","Cl. 28 #6e-32, Floridablanca, Bucaramanga, Santander","Floridablanca, Santander",Santander,,7.0748702,-73.0881451,https://maps.app.goo.gl/d7rPWKABZyQm7mPw9,4.0-4.5
Bros Burguer,Restaurante de comida rápida,4.3,49.0,1.0,"Ese lugar me decepcionó y me hizo dudar de su reputación el día que pedí una agua normal ..y en vez de decirme que no había prefirieron llenar un botella de agua sin etiqueta y darme la y les dije oiga esto no es nuevo , me dijeron es que se le cayó la etiqueta le dije el sello está roto además se ve que la botella es vieja, se hicieron los locos y dijeron que raro 🙄🙄 y la comida demasiado llena de aceite quemado , un asco total ese lugar .no recomendado","domingo, 4:30 PMa1 AM; lunes, 4:30 PMa1 AM; martes, 4:30 PMa1 AM; miércoles, 4:30 PMa1 AM; jueves, 4:30 PMa1 AM; viernes, 4:30 PMa1 AM; sábado, 4:30 PMa1 AM","3WR5+H2 Floridablanca, Santander","Cl. 56 #1505, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0914058,-73.0924205,https://maps.app.goo.gl/aU9e1t7icnRPiEj97,4.0-4.5
Hamburguesas El Garaje | La Florida,Hamburguesería,4.4,96.0,3.0,"El lugar es sencillo, tiene una vista amplia y ponen buena música. Ahora si, la comida no es buena ni mala, es rica pero antes eran mucho mejor, les han bajado la calidad considerablemente y los precios no son muy económicos que digamos como para recibir una hamburguesa tan sencilla. La salsa de piña es muy rica. No está mal, pero hay lugares con mejores propuestas! 🍔⭐","domingo, 12a9 PM; lunes, 12a9 PM; martes, 12a9 PM; miércoles, 12a9 PM; jueves, 12a9 PM; viernes, 12a9 PM; sábado, 12a9 PM","3V9V+QR Floridablanca, Santander","Centro Comercial La Florida, Terraza 360, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0694902,-73.1054095,https://maps.app.goo.gl/7PRdNn2mPMCsj6EY6,4.0-4.5
LA INDUSTRIA BURGER,Hamburguesería,3.6,92.0,3.0,"Pésimo servicio al cliente.
En cuanto a la comida rápida, las papas fritas sienten el sabor a aceite quemado. Los perros si tienen buen sabor. La música es demasiado alta.","domingo, 12a11:30 PM; lunes, 12a10:30 PM; martes, 12 PMa10 AM; miércoles, 12a10:30 PM; jueves, 12a10:30 PM; viernes, 12a11 PM; sábado, 12a11:30 PM","3VGV+49 Floridablanca, Santander","Cra. 28 #22-70, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0753121,-73.1065019,https://maps.app.goo.gl/ps9xFTXuHmi9MgXt8,< 4.0
Mi Local,Hamburguesería,4.6,488.0,5.0,Excelente lugar para pasar un rato chévere 🤠. Comida deliciosa y muy buena atención y precios justos 😋,"domingo, 6a11:30 PM; lunes, 6a11:30 PM; martes, 6a11:30 PM; miércoles, 6a11:30 PM; jueves, 6a11:30 PM; viernes, 6a11:30 PM; sábado, 6a11:30 PM","3WG6+G3 Floridablanca, Santander","Cra. 5 Este # 30-30, Floridablanca, Santander","Floridablanca, Santander",Santander,https://instagram.com/milocaloficial?igshid=ptido2yfm091,7.076286,-73.0897763,https://maps.app.goo.gl/rS7jPSF4ipJrt72z5,4.5-5.0
"BRUUTTAL Burgers, Cañaveral",Restaurante de comida rápida,4.6,45.0,5.0,"Delicioso! Las salsas son riquísimas, la hamburguesa mixta y las papas bacon recomendadas. Atención 10/10","domingo, 5a11 PM; lunes, 5a11 PM; martes, 5a11 PM; miércoles, 5a11 PM; jueves, 5a11 PM; viernes, 5a11 PM; sábado, 5a11 PM","3V9W+J4 Floridablanca, Santander","Calle 32 # 26-40 Cañaveral, Floridablanca, Santander","Floridablanca, Santander",Santander,https://www.instagram.com/bruuttalburgers/,7.0691205,-73.104709,https://maps.app.goo.gl/eKHxnU41opeMogdt9,4.5-5.0
Pinchadas Cañaveral,Restaurante,4.3,631.0,5.0,"La verdad el lugar muy bonito, la comida espectacular... En fin todo estubo muy bien... Excelente","domingo, 11:30 AMa10:30 PM; lunes, 5:30a10:30 PM; martes, 5:30a10:30 PM; miércoles, 5:30a10:30 PM; jueves, 5:30a10:30 PM; viernes, 5:30a10:30 PM; sábado, 11:30 AMa11 PM","3V9W+PC Floridablanca, Santander","Cl. 33 #26-64, Floridablanca, Santander","Floridablanca, Santander",Santander,https://www.megalinkpro.com/infopinchadasburger,7.0692696,-73.1039784,https://maps.app.goo.gl/L9opzhoiKt7ay2RE6,4.0-4.5
Parchados Burger &amp; Grill Cañaveral,Hamburguesería,4.8,30.0,4.0,"El lugar es pequeño, pero el servicio es agradable y sobretodo rápido. La comida es buena, la carne siento que puede tener un sabor más distintivo por eso no le di las 5 estrellas. Son super limitadas las salsas lo que me parece un poco raro, dan un solo sobre pequeño  de tartará y piña .  Las porciones están correctas , pero siento que por el precio se esperaría un poco más de sabor . Pienso volver a probar otras opciones a ver qué tal.","domingo, 11:30 AMa11:30 PM; lunes, 5a11 PM; martes, 5a11 PM; miércoles, 5a11 PM; jueves, 5a11 PM; viernes, 11:30 AMa11:30 PM; sábado, 11:30 AMa11:30 PM","3V9V+64 Floridablanca, Santander","Cl. 31 #23-75, Cañaveral, Floridablanca, Santander","Floridablanca, Santander",Santander,http://www.parchadosburger.com/,7.0681163,-73.1071373,https://maps.app.goo.gl/drYbMyATxpYMqhEL8,4.5-5.0
Donde Jimmy Hijo,Restaurante de comida rápida,4.0,425.0,5.0,"Deliciosa comida, sin esperas largas y excelente servicio","domingo, 4 PMa12 AM; lunes, 4 PMa2 AM; martes, 4 PMa2 AM; miércoles, 4 PMa2 AM; jueves, 4 PMa2 AM; viernes, 4 PMa2 AM; sábado, 4 PMa2 AM","3WM8+G6 Floridablanca, Santander","Av. 60 #144 21, Floridablanca, Santander","Floridablanca, Santander",Santander,https://elavisperobucaramanga.com/comidas-rapidas-donde-jimmy-hijo/,7.0838613,-73.0844062,https://maps.app.goo.gl/NhJiftcebdn4cNaN7,4.0-4.5
