name,Category,Rating,Nº Reviews,Stars,User Comment,Hours,Plus Code,Address,City,Province,Url,Latitude,Longitude,Url in Maps,nombre_restaurante,tipo_restaurante,puntuacion,cantidad_comentarios,direccion_comercial,tipo_consumo,opciones,entrega,enlace,geocoding_address,coordenadas,latitude,longitude
Dónde Gerson,Restaurante de comida rápida,"4,4",131.0,5.0,"Excelente calidad en sus productos y servicio, super recomendados, atendido por sus propietarios","domingo, 6 PMa1 AM; lunes, 6 PMa1 AM; martes, 6 PMa1 AM; miércoles, 6 PMa1 AM; jueves, 6 PMa1 AM; viernes, 6 PMa1 AM; sábado, 6 PMa1 AM","3WV3+V5 Floridablanca, Santander","Cl 104B #42A-22, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0946587,-73.0970268,https://maps.app.goo.gl/vX6kh9c92M1KcULL7,Dónde Gerson,·  · Comida rápida,4.4,130.0,Calle 104B No42A-22,,,,,"Calle 104B No42A-22, Bucaramanga, Santander, Colombia","(7.0831386, -73.1246859)",7.0831386,-73.1246859
César burguer,Restaurante,"4,7",30.0,5.0,Exelente atención al cliente muy rica la comida lo recomiendo,"domingo, 4 PMa12 AM; lunes, 4 PMa12 AM; martes, Cerrado; miércoles, 4 PMa12 AM; jueves, 4 PMa12 AM; viernes, 6 PMa12 AM; sábado, 6 PMa12 AM","3WG6+48 Floridablanca, Santander","Cra. 5 Este #28-70, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0752782,-73.0892095,https://maps.app.goo.gl/tQQduj7CAKGCvuHw8,,,,,,,,,,,,,
Homies Artesanal,Hamburguesería,"4,7",341.0,5.0,"El lugar es una joya escondida, es un restaurante de comida rápida con puerta cerrada. El servicio es amable y rápido, gran variedad de hamburguesas de muy buen sabor y combinaciones acertadas. La calidad de sus ingredientes es muy buena, el precio es justo. Las bebidas también tiene propuestas interesantes, volvería sin pensarlo. Recomendado.","domingo, 6a11 PM; lunes, 6a11 PM; martes, 6a11 PM; miércoles, 6a11 PM; jueves, 6a11 PM; viernes, 6a11 PM; sábado, 6a11 PM","3VFW+7H Floridablanca, Santander","Cra. 11 #26 24, Lagos 1, Floridablanca, Santander","Floridablanca, Santander",Santander,https://www.instagram.com/homiesburgersco/,7.0731611,-73.103541,https://maps.app.goo.gl/mDnSGhVrHB6cqXe36,Homies Artesanal,·  · Hamburguesa,4.7,343.0,Carrera. 11 No26 24,,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"Carrera. 11 No26 24, Bucaramanga, Santander, Colombia","(7.1315318, -73.1337332)",7.1315318,-73.1337332
Bizzarros burger,Restaurante,"4,7",71.0,5.0,"Me encanta este lugar, muy agradable, limpio, excelente servicio, ambiente y por supuesto sus platos, su estructura es encantadora, una decoración artística hermosa 🎋🎍","domingo, 11 AMa12:30 AM; lunes, Cerrado; martes, 11 AMa12:30 AM; miércoles, 11 AMa12:30 AM; jueves, 9 AMa12:30 AM; viernes, 11 AMa12:30 AM; sábado, 11 AMa12:30 AM","3V9R+M5 Floridablanca, Santander","lagos , cañaveral, Cl 29 #10-42, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0692066,-73.1096089,https://maps.app.goo.gl/JJLoQLAxruRcCXBw6,Bizzarros burger,·  · Restaurante,4.7,73.0,"lagos , cañaveral, Calle 29 No10-42",Consumo en el lugar,Para llevar,Entrega sin contacto,,"lagos , cañaveral, Calle 29 No10-42, Bucaramanga, Santander, Colombia","(7.0692066, -73.1096089)",7.0692066,-73.1096089
El Corral La Florida,Restaurante,"4,4",170.0,5.0,Lo más bonito que e podido recibir gracias Dios mío 🙏🙏🙏🙏,"domingo, 11 AMa9 PM; lunes, 11 AMa9 PM; martes, 11 AMa9 PM; miércoles, 11 AMa9 PM; jueves, 11 AMa9 PM; viernes, 11 AMa10 PM; sábado, 11 AMa10 PM","3V9V+QJ Floridablanca, Santander","Cl. 31 # 25A-19 Local 313, Bucaramanga, Floridablanca, Santander","Floridablanca, Santander",Santander,https://pideenlinea.elcorral.com/,7.0694037,-73.10594,https://maps.app.goo.gl/kUgFkTZorfVjeZFR6,,,,,,,,,,,,,
Comidas Rápidas Donde Ro,Restaurante de comida rápida,"4,4",84.0,1.0,"1 hora esperando el servicio, comida un poco desabrida, presentación sencilla, poco personal para tanta venta, lugar económico se podría decir 20 mil pesos por una salchipapa, aspectos por mejorar agilidad en el pedido, pedimos 2 cosas y solo llegó 1 en una hora.","domingo, 6 AMa12 AM; lunes, 6 AMa12 AM; martes, 6 AMa12 AM; miércoles, 6 AMa12 AM; jueves, 6 AMa12 AM; viernes, 6 AMa12 AM; sábado, 6 AMa12 AM","3VGW+78 Floridablanca, Santander","Cl. 20 #12-03, Floridablanca, Santander","Floridablanca, Santander",Santander,https://es.restaurantguru.com/Comidas-Rapidas-Donde-Ro-Floridablanca-2,7.0757285,-73.1042032,https://maps.app.goo.gl/n1BMm5NU9QfVZhPT9,Comidas Rápidas Donde Ro,· Comida rápida,4.4,84.0,Calle. 20 No12-03,,,,,"Calle. 20 No12-03, Bucaramanga, Santander, Colombia","(7.1282929, -73.1264151)",7.1282929,-73.1264151
Manjar Burger &amp; Grill,Restaurante,"4,2",5.0,1.0,"Realice un pedido que demoró casi 2 h en llegar, no contestan en el restaurante, la respuesta es &quot;Es culpa del domiciliario&quot; , llega el pedido frío, con papas que no se las come ni el perro, y la lechuga fea prácticamente incomestible pésimo servicio al cliente y poca solución y pésima comida la verdad","domingo, 11 AMa10:30 AM; lunes, 11 AMa10:30 AM; martes, 11 AMa10:30 AM; miércoles, 11 AMa10:30 AM; jueves, 11 AMa10:30 AM; viernes, 11 AMa10:30 AM; sábado, 11 AMa10:30 AM","3VQV+2Q Floridablanca, Santander","El dorado, Cl 111A #32-40, Sotomayor, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0875041,-73.1055942,https://maps.app.goo.gl/hpb4fAWruL8u2CDK7,,,,,,,,,,,,,
Checho&apos;s Burguers,Restaurante,"4,1",29.0,4.0,Es un lugar muy bueno pero la comida es normal no me gustó que el servicio es bastante demorado a veces tarda más de 15 minutos pero la comida en general es buena y la atención también es bueno tiene buen servicio y buena variación en todas las comidas ofrecen wi-fi y parqueadero gratis estoy haciendo,"domingo, 4 PMa12 AM; lunes, 4 PMa12 AM; martes, 4 PMa12 AM; miércoles, 4 PMa12 AM; jueves, 4 PMa12 AM; viernes, 4 PMa12 AM; sábado, 4 PMa12 AM","3WH6+GJ Floridablanca, Santander","Cra. 9 #33-05, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0787561,-73.0884427,https://maps.app.goo.gl/ATnk3kedin3ATns86,,,,,,,,,,,,,
CARBON Y MAS,Restaurante de comida rápida,"4,4",458.0,5.0,"Excelente lugar en floridablanca me gusta mucho visitar este restaurante es rapido el servicio y muy buena la comida, se puede parquear el carro afuera, bastante acogedor","domingo, 11:30 AMa3:30 PM, 5:30a10 PM; lunes, Cerrado; martes, 11:30 AMa2 PM, 5:30a10 PM; miércoles, 11:30 AMa2 PM, 5:30a10 PM; jueves, 11:30 AMa2 PM, 5:30a10 PM; viernes, 11:30 AMa2 PM, 5a10:30 PM; sábado, 11:30 AMa3:30 PM, 5:30a11 PM","3W79+XP Floridablanca, Santander","Cl. 5 #15-08, Floridablanca, Santander","Floridablanca, Santander",Santander,https://www.instagram.com/carbonymasflorida/,7.0649073,-73.0806373,https://maps.app.goo.gl/JKDYSU35rhL5r4eN6,CARBON Y MAS,·  · Comida rápida,4.4,458.0,Calle. 5 No15-08,,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"Calle. 5 No15-08, Bucaramanga, Santander, Colombia","(7.140411, -73.1298794)",7.140411,-73.1298794
burger san miguel cañaveral,Hamburguesería,"5,0",2.0,5.0,muy buen servicio y la comida muy rica,"domingo, 3 PMa2 AM; lunes, 3 PMa2:30 AM; martes, 3 PMa12 AM; miércoles, Abierto las 24 horas; jueves, 3:30 PMa2 AM; viernes, 3 PMa2 AM; sábado, 3 PMa3 AM","3VHR+9W Floridablanca, Santander","Cl. 17 #18-83, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0784498,-73.1077393,https://maps.app.goo.gl/wt5HXmHoJ2xjchrN8,burger san miguel cañaveral,· Hamburguesa,5.0,2.0,Calle. 17 No18-83,Consumo en el lugar,Pedidos desde el automóvil,Entrega a domicilio,,"Calle. 17 No18-83, Bucaramanga, Santander, Colombia","(7.1535145, -73.1317271)",7.1535145,-73.1317271
